,consistency,relevance,coherence,fluency
bertscore-sentence-mnli-deberta-xlarge-entail_contradict-topk-5_R,0.16,0.317,0.239,0.171
bertscore-sentence-mnli-deberta-xlarge-entail_contradict-topk-5_F,0.201,0.343,0.233,0.268
bertscore-sentence-mnli-deberta-xlarge-entail_contradict-topk-10_P,0.356,0.308,0.244,0.191
bertscore-sentence-mnli-deberta-xlarge-entail_contradict-topk-10_R,0.204,0.289,0.208,0.194
bertscore-sentence-mnli-deberta-xlarge-entail_contradict-topk-10_F,0.262,0.376,0.279,0.176
bertscore-sentence-mnli-deberta-xlarge-entail_contradict-topk-20_P,0.333,0.255,0.231,0.16
bertscore-sentence-mnli-deberta-xlarge-entail_contradict-topk-20_R,0.151,0.174,0.102,0.193
bertscore-sentence-mnli-deberta-xlarge-entail_contradict-topk-20_F,0.178,0.256,0.16,0.17
bertscore-sentence-mnli-deberta-xlarge-entail_contradict-topp-0.2_P,0.143,0.289,0.245,0.077
bertscore-sentence-mnli-deberta-xlarge-entail_contradict-topp-0.2_R,0.198,0.295,0.223,0.187
bertscore-sentence-mnli-deberta-xlarge-entail_contradict-topp-0.2_F,0.188,0.334,0.263,0.157
bertscore-sentence-mnli-deberta-xlarge-entail_contradict-topp-0.5_P,0.238,0.351,0.291,0.141
bertscore-sentence-mnli-deberta-xlarge-entail_contradict-topp-0.5_R,0.163,0.212,0.128,0.178
bertscore-sentence-mnli-deberta-xlarge-entail_contradict-topp-0.5_F,0.218,0.293,0.189,0.232
bertscore-sentence-mnli-deberta-xlarge-entail_contradict-topp-0.7_P,0.328,0.33,0.312,0.147
bertscore-sentence-mnli-deberta-xlarge-entail_contradict-topp-0.7_R,0.192,0.22,0.163,0.189
bertscore-sentence-mnli-deberta-xlarge-entail_contradict-topp-0.7_F,0.24,0.278,0.205,0.206
bertscore-sentence-mnli-deberta-large-not_neutral_P,0.189,-0.117,-0.058,0.14
bertscore-sentence-mnli-deberta-large-not_neutral_R,-0.252,-0.392,-0.35,-0.105
bertscore-sentence-mnli-deberta-large-not_neutral_F,-0.219,-0.385,-0.335,-0.087
bertscore-sentence-mnli-deberta-large-entail_only_P,0.312,0.148,0.114,0.175
bertscore-sentence-mnli-deberta-large-entail_only_R,0.096,0.009,-0.025,0.147
bertscore-sentence-mnli-deberta-large-entail_only_F,0.123,0.023,-0.013,0.15
bertscore-sentence-mnli-deberta-large-entail_contradict_P,0.344,0.182,0.14,0.194
bertscore-sentence-mnli-deberta-large-entail_contradict_R,0.185,0.158,0.093,0.216
bertscore-sentence-mnli-deberta-large-entail_contradict_F,0.122,0.323,0.289,-0.027
bertscore-sentence-mnli-deberta-large-entail_contradict-topk-5_P,0.243,0.268,0.181,0.242
bertscore-sentence-mnli-deberta-large-entail_contradict-topk-5_R,0.191,0.292,0.217,0.189
bertscore-sentence-mnli-deberta-large-entail_contradict-topk-5_F,0.236,0.289,0.199,0.205
bertscore-sentence-mnli-deberta-large-entail_contradict-topk-10_P,0.376,0.266,0.187,0.219
bertscore-sentence-mnli-deberta-large-entail_contradict-topk-10_R,0.261,0.276,0.201,0.202
bertscore-sentence-mnli-deberta-large-entail_contradict-topk-10_F,0.125,0.333,0.295,-0.053
bertscore-sentence-mnli-deberta-large-entail_contradict-topk-20_P,0.344,0.187,0.142,0.196
bertscore-sentence-mnli-deberta-large-entail_contradict-topk-20_R,0.182,0.164,0.097,0.215
bertscore-sentence-mnli-deberta-large-entail_contradict-topk-20_F,0.122,0.324,0.29,-0.029
bertscore-sentence-mnli-deberta-large-entail_contradict-topp-0.2_P,0.172,0.274,0.231,0.113
bertscore-sentence-mnli-deberta-large-entail_contradict-topp-0.2_R,0.216,0.275,0.206,0.201
bertscore-sentence-mnli-deberta-large-entail_contradict-topp-0.2_F,0.231,0.317,0.252,0.173
bertscore-sentence-mnli-deberta-large-entail_contradict-topp-0.5_P,0.264,0.308,0.237,0.167
bertscore-sentence-mnli-deberta-large-entail_contradict-topp-0.5_R,0.19,0.198,0.115,0.194
bertscore-sentence-mnli-deberta-large-entail_contradict-topp-0.5_F,0.218,0.247,0.158,0.198
bertscore-sentence-mnli-deberta-large-entail_contradict-topp-0.7_P,0.349,0.279,0.237,0.182
bertscore-sentence-mnli-deberta-large-entail_contradict-topp-0.7_R,0.217,0.205,0.144,0.199
bertscore-sentence-mnli-deberta-large-entail_contradict-topp-0.7_F,0.229,0.238,0.179,0.192
bertscore-sentence-pagerank-mnli-deberta-large-entail_contradict-entropy_P,0.376,0.202,0.143,0.223
bertscore-sentence-pagerank-mnli-deberta-large-entail_contradict-entropy_R,0.045,0.176,0.195,0.028
bertscore-sentence-pagerank-mnli-deberta-large-entail_contradict-entropy_F,0.031,0.061,0.115,-0.052
bertscore-sentence-pagerank-mnli-deberta-large-entail_contradict-sum_P,0.369,0.079,0.134,0.076
bertscore-sentence-pagerank-mnli-deberta-large-entail_contradict-sum_R,0.06,-0.026,0.038,0.114
bertscore-sentence-pagerank-mnli-deberta-large-entail_contradict-sum_F,0.202,0.138,0.138,0.251
bertscore-sentence-cos-mpnet-anyref-pegasus-newsroom-default_P,0.173,0.127,0.04,0.169
bertscore-sentence-cos-mpnet-anyref-pegasus-newsroom-default_R,0.103,0.269,0.127,0.05
bertscore-sentence-cos-mpnet-anyref-pegasus-newsroom-default_F,0.2,0.241,0.111,0.161
bertscore-sentence-cos-mpnet-anyref-pegasus-newsroom-min-0.2-0.5_P,0.091,0.143,0.093,0.098
bertscore-sentence-cos-mpnet-anyref-pegasus-newsroom-min-0.2-0.5_R,0.084,0.086,0.033,0.02
bertscore-sentence-cos-mpnet-anyref-pegasus-newsroom-min-0.2-0.5_F,0.133,0.181,0.109,0.094
bertscore-sentence-cos-mpnet-anyref-pegasus-newsroom-min-0.5-0.7_P,0.091,0.143,0.093,0.098
bertscore-sentence-cos-mpnet-anyref-pegasus-newsroom-min-0.5-0.7_R,0.084,0.086,0.033,0.02
bertscore-sentence-cos-mpnet-anyref-pegasus-newsroom-min-0.5-0.7_F,0.133,0.181,0.109,0.094
bertscore-sentence-cos-mpnet-anyref-pegasus-newsroom-mean-0.2-0.5_P,0.091,0.143,0.093,0.098
bertscore-sentence-cos-mpnet-anyref-pegasus-newsroom-mean-0.2-0.5_R,0.084,0.086,0.033,0.02
bertscore-sentence-cos-mpnet-anyref-pegasus-newsroom-mean-0.2-0.5_F,0.133,0.181,0.109,0.094
bertscore-sentence-cos-mpnet-anyref-pegasus-newsroom-mean-0.5-0.7_P,0.091,0.143,0.093,0.098
bertscore-sentence-cos-mpnet-anyref-pegasus-newsroom-mean-0.5-0.7_R,0.084,0.086,0.033,0.02
bertscore-sentence-cos-mpnet-anyref-pegasus-newsroom-mean-0.5-0.7_F,0.133,0.181,0.109,0.094
bertscore-sentence-cos-mpnet-anyref-pegasus-newsroom-constant-16-32_P,0.091,0.143,0.093,0.098
bertscore-sentence-cos-mpnet-anyref-pegasus-newsroom-constant-16-32_R,0.084,0.086,0.033,0.02
bertscore-sentence-cos-mpnet-anyref-pegasus-newsroom-constant-16-32_F,0.133,0.181,0.109,0.094
bertscore-sentence-cos-mpnet-anyref-pegasus-newsroom-constant-32-64_P,0.173,0.127,0.04,0.169
bertscore-sentence-cos-mpnet-anyref-pegasus-newsroom-constant-32-64_R,0.103,0.269,0.127,0.05
bertscore-sentence-cos-mpnet-anyref-pegasus-newsroom-constant-32-64_F,0.2,0.241,0.111,0.161
bertscore-sentence-cos-mpnet-anyref-pegasus-cnndm-default_P,0.246,0.485,0.336,0.171
bertscore-sentence-cos-mpnet-anyref-pegasus-cnndm-default_R,0.088,0.022,0.08,0.068
bertscore-sentence-cos-mpnet-anyref-pegasus-cnndm-default_F,0.172,0.244,0.205,0.119
bertscore-sentence-cos-mpnet-anyref-pegasus-cnndm-min-0.2-0.5_P,0.238,0.474,0.321,0.169
bertscore-sentence-cos-mpnet-anyref-pegasus-cnndm-min-0.2-0.5_R,0.088,0.031,0.085,0.066
bertscore-sentence-cos-mpnet-anyref-pegasus-cnndm-min-0.2-0.5_F,0.168,0.244,0.199,0.117
bertscore-sentence-cos-mpnet-anyref-pegasus-cnndm-min-0.5-0.7_P,0.238,0.474,0.321,0.169
bertscore-sentence-cos-mpnet-anyref-pegasus-cnndm-min-0.5-0.7_R,0.088,0.031,0.085,0.066
bertscore-sentence-cos-mpnet-anyref-pegasus-cnndm-min-0.5-0.7_F,0.168,0.244,0.199,0.117
bertscore-sentence-cos-mpnet-anyref-pegasus-cnndm-mean-0.2-0.5_P,0.238,0.474,0.321,0.169
bertscore-sentence-cos-mpnet-anyref-pegasus-cnndm-mean-0.2-0.5_R,0.088,0.031,0.085,0.066
bertscore-sentence-cos-mpnet-anyref-pegasus-cnndm-mean-0.2-0.5_F,0.168,0.244,0.199,0.117
bertscore-sentence-cos-mpnet-anyref-pegasus-cnndm-mean-0.5-0.7_P,0.238,0.474,0.321,0.169
bertscore-sentence-cos-mpnet-anyref-pegasus-cnndm-mean-0.5-0.7_R,0.088,0.031,0.085,0.066
bertscore-sentence-cos-mpnet-anyref-pegasus-cnndm-mean-0.5-0.7_F,0.168,0.244,0.199,0.117
bertscore-sentence-cos-mpnet-anyref-pegasus-cnndm-constant-16-32_P,0.238,0.474,0.321,0.169
bertscore-sentence-cos-mpnet-anyref-pegasus-cnndm-constant-16-32_R,0.088,0.031,0.085,0.066
bertscore-sentence-cos-mpnet-anyref-pegasus-cnndm-constant-16-32_F,0.168,0.244,0.199,0.117
bertscore-sentence-cos-mpnet-anyref-pegasus-cnndm-constant-32-64_P,0.246,0.485,0.336,0.171
bertscore-sentence-cos-mpnet-anyref-pegasus-cnndm-constant-32-64_R,0.088,0.022,0.08,0.068
bertscore-sentence-cos-mpnet-anyref-pegasus-cnndm-constant-32-64_F,0.172,0.244,0.205,0.119
bertscore-sentence-cos-roberta-anyref-pegasus-newsroom-default_P,0.221,0.183,0.092,0.212
bertscore-sentence-cos-roberta-anyref-pegasus-newsroom-default_R,0.159,0.304,0.153,0.068
bertscore-sentence-cos-roberta-anyref-pegasus-newsroom-default_F,0.265,0.308,0.164,0.199
bertscore-sentence-cos-roberta-anyref-pegasus-newsroom-min-0.2-0.5_P,0.139,0.171,0.122,0.111
bertscore-sentence-cos-roberta-anyref-pegasus-newsroom-min-0.2-0.5_R,0.137,0.114,0.06,0.024
bertscore-sentence-cos-roberta-anyref-pegasus-newsroom-min-0.2-0.5_F,0.197,0.217,0.147,0.1
bertscore-sentence-cos-roberta-anyref-pegasus-newsroom-min-0.5-0.7_P,0.139,0.171,0.122,0.111
bertscore-sentence-cos-roberta-anyref-pegasus-newsroom-min-0.5-0.7_R,0.137,0.114,0.06,0.024
bertscore-sentence-cos-roberta-anyref-pegasus-newsroom-min-0.5-0.7_F,0.197,0.217,0.147,0.1
bertscore-sentence-cos-roberta-anyref-pegasus-newsroom-mean-0.2-0.5_P,0.139,0.171,0.122,0.111
bertscore-sentence-cos-roberta-anyref-pegasus-newsroom-mean-0.2-0.5_R,0.137,0.114,0.06,0.024
bertscore-sentence-cos-roberta-anyref-pegasus-newsroom-mean-0.2-0.5_F,0.197,0.217,0.147,0.1
bertscore-sentence-cos-roberta-anyref-pegasus-newsroom-mean-0.5-0.7_P,0.139,0.171,0.122,0.111
bertscore-sentence-cos-roberta-anyref-pegasus-newsroom-mean-0.5-0.7_R,0.137,0.114,0.06,0.024
bertscore-sentence-cos-roberta-anyref-pegasus-newsroom-mean-0.5-0.7_F,0.197,0.217,0.147,0.1
bertscore-sentence-cos-roberta-anyref-pegasus-cnndm-default_P,0.221,0.522,0.381,0.179
bertscore-sentence-cos-roberta-anyref-pegasus-cnndm-default_R,0.061,0.021,0.062,0.098
bertscore-sentence-cos-roberta-anyref-pegasus-cnndm-default_F,0.14,0.255,0.213,0.145
bertscore-sentence-cos-roberta-anyref-pegasus-cnndm-min-0.2-0.5_P,0.215,0.507,0.363,0.179
bertscore-sentence-cos-roberta-anyref-pegasus-cnndm-min-0.2-0.5_R,0.065,0.026,0.069,0.098
bertscore-sentence-cos-roberta-anyref-pegasus-cnndm-min-0.2-0.5_F,0.138,0.249,0.207,0.147
bertscore-sentence-cos-roberta-anyref-pegasus-cnndm-min-0.5-0.7_P,0.215,0.507,0.363,0.179
bertscore-sentence-cos-roberta-anyref-pegasus-cnndm-min-0.5-0.7_R,0.065,0.026,0.069,0.098
bertscore-sentence-cos-roberta-anyref-pegasus-cnndm-min-0.5-0.7_F,0.138,0.249,0.207,0.147
bertscore-sentence-cos-roberta-anyref-pegasus-cnndm-mean-0.2-0.5_P,0.215,0.507,0.363,0.179
bertscore-sentence-cos-roberta-anyref-pegasus-cnndm-mean-0.2-0.5_R,0.065,0.026,0.069,0.098
bertscore-sentence-cos-roberta-anyref-pegasus-cnndm-mean-0.2-0.5_F,0.138,0.249,0.207,0.147
bertscore-sentence-cos-roberta-anyref-pegasus-cnndm-mean-0.5-0.7_P,0.215,0.507,0.363,0.179
bertscore-sentence-cos-roberta-anyref-pegasus-cnndm-mean-0.5-0.7_R,0.065,0.026,0.069,0.098
bertscore-sentence-cos-roberta-anyref-pegasus-cnndm-mean-0.5-0.7_F,0.138,0.249,0.207,0.147
bertscore-sentence-cos-roberta-anyref-pegasus-cnndm-constant-16-32_P,0.215,0.507,0.363,0.179
bertscore-sentence-cos-roberta-anyref-pegasus-cnndm-constant-16-32_R,0.065,0.026,0.069,0.098
bertscore-sentence-cos-roberta-anyref-pegasus-cnndm-constant-16-32_F,0.138,0.249,0.207,0.147
bertscore-sentence-cos-roberta-anyref-pegasus-cnndm-constant-32-64_P,0.221,0.522,0.381,0.179
bertscore-sentence-cos-roberta-anyref-pegasus-cnndm-constant-32-64_R,0.061,0.021,0.062,0.098
bertscore-sentence-cos-roberta-anyref-pegasus-cnndm-constant-32-64_F,0.14,0.255,0.213,0.145
bertscore-deberta-large-mnli_precision,0.463,0.576,0.584,0.294
bertscore-deberta-large-mnli_recall,0.245,0.497,0.419,0.34
bertscore-deberta-large-mnli_f1,0.338,0.572,0.512,0.354
bertscore-deberta-large-mnli-topk-5_precision,0.394,0.6,0.576,0.265
bertscore-deberta-large-mnli-topk-5_recall,0.296,0.549,0.506,0.198
bertscore-deberta-large-mnli-topk-5_f1,0.361,0.62,0.581,0.245
bertscore-deberta-large-mnli-topk-10_precision,0.462,0.609,0.6,0.282
bertscore-deberta-large-mnli-topk-10_recall,0.249,0.568,0.502,0.334
bertscore-deberta-large-mnli-topk-10_f1,0.339,0.617,0.566,0.336
bertscore-deberta-large-mnli-topk-20_precision,0.462,0.575,0.583,0.291
bertscore-deberta-large-mnli-topk-20_recall,0.243,0.499,0.418,0.336
bertscore-deberta-large-mnli-topk-20_f1,0.337,0.574,0.512,0.351
bertscore-deberta-large-mnli-topp-0.2_precision,0.301,0.49,0.461,0.21
bertscore-deberta-large-mnli-topp-0.2_recall,0.4,0.528,0.459,0.27
bertscore-deberta-large-mnli-topp-0.2_f1,0.414,0.603,0.539,0.28
bertscore-deberta-large-mnli-topp-0.5_precision,0.442,0.616,0.603,0.282
bertscore-deberta-large-mnli-topp-0.5_recall,0.294,0.475,0.409,0.333
bertscore-deberta-large-mnli-topp-0.5_f1,0.387,0.596,0.538,0.354
bertscore-deberta-large-mnli-topp-0.7_precision,0.449,0.58,0.58,0.297
bertscore-deberta-large-mnli-topp-0.7_recall,0.231,0.437,0.37,0.373
bertscore-deberta-large-mnli-topp-0.7_f1,0.324,0.531,0.476,0.384
bertscore-deberta-xlarge-mnli_precision,0.463,0.576,0.584,0.294
bertscore-deberta-xlarge-mnli_recall,0.245,0.497,0.419,0.34
bertscore-deberta-xlarge-mnli_f1,0.338,0.572,0.512,0.354
bertscore-deberta-xlarge-mnli-topk-5_precision,0.394,0.6,0.576,0.265
bertscore-deberta-xlarge-mnli-topk-5_recall,0.296,0.549,0.506,0.198
bertscore-deberta-xlarge-mnli-topk-5_f1,0.361,0.62,0.581,0.245
bertscore-deberta-xlarge-mnli-topk-10_precision,0.462,0.609,0.6,0.282
bertscore-deberta-xlarge-mnli-topk-10_recall,0.249,0.568,0.502,0.334
bertscore-deberta-xlarge-mnli-topk-10_f1,0.339,0.617,0.566,0.336
bertscore-deberta-xlarge-mnli-topk-20_precision,0.462,0.575,0.583,0.291
bertscore-deberta-xlarge-mnli-topk-20_recall,0.243,0.499,0.418,0.336
bertscore-deberta-xlarge-mnli-topk-20_f1,0.337,0.574,0.512,0.351
bertscore-deberta-xlarge-mnli-topp-0.2_precision,0.301,0.49,0.461,0.21
bertscore-deberta-xlarge-mnli-topp-0.2_recall,0.4,0.528,0.459,0.27
bertscore-deberta-xlarge-mnli-topp-0.2_f1,0.414,0.603,0.539,0.28
bertscore-deberta-xlarge-mnli-topp-0.5_precision,0.442,0.616,0.603,0.282
bertscore-deberta-xlarge-mnli-topp-0.5_recall,0.294,0.475,0.409,0.333
bertscore-deberta-xlarge-mnli-topp-0.5_f1,0.387,0.596,0.538,0.354
bertscore-deberta-xlarge-mnli-topp-0.7_precision,0.449,0.58,0.58,0.297
bertscore-deberta-xlarge-mnli-topp-0.7_recall,0.231,0.437,0.37,0.373
bertscore-deberta-xlarge-mnli-topp-0.7_f1,0.324,0.531,0.476,0.384
