,consistency,relevance,coherence,fluency
bertscore-roberta-base_precision,0.312,0.321,0.42,0.269
bertscore-roberta-base_recall,0.172,0.284,0.194,0.095
bertscore-roberta-base_f1,0.282,0.345,0.357,0.217
bertscore-deberta-base_precision,0.317,0.294,0.349,0.271
bertscore-deberta-base_recall,0.206,0.317,0.185,0.123
bertscore-deberta-base_f1,0.285,0.347,0.288,0.208
bertscore-bart-base_precision,0.306,0.331,0.408,0.243
bertscore-bart-base_recall,0.134,0.267,0.154,0.033
bertscore-bart-base_f1,0.219,0.322,0.262,0.122
