,consistency,relevance,coherence,fluency
bertscore-roberta-base_precision,0.373,0.55,0.514,0.298
bertscore-roberta-base_recall,0.144,0.363,0.303,0.3
bertscore-roberta-base_f1,0.253,0.484,0.425,0.335
bertscore-deberta-base_precision,0.364,0.557,0.534,0.19
bertscore-deberta-base_recall,0.185,0.51,0.419,0.315
bertscore-deberta-base_f1,0.291,0.599,0.528,0.295
bertscore-bart-base_precision,0.288,0.491,0.44,0.255
bertscore-bart-base_recall,0.147,0.376,0.267,0.311
bertscore-bart-base_f1,0.196,0.447,0.337,0.322
