,InformativenessRating,RelevanceRating,CoherenceRating,FluencyRating
bertscore-roberta-base_precision,0.306,0.188,0.053,0.053
bertscore-roberta-base_recall,0.164,0.084,-0.16,-0.227
bertscore-roberta-base_f1,0.248,0.142,-0.084,-0.132
bertscore-deberta-base_precision,0.309,0.161,0.094,0.096
bertscore-deberta-base_recall,0.27,0.171,-0.09,-0.155
bertscore-deberta-base_f1,0.314,0.189,-0.02,-0.066
bertscore-bart-base_precision,0.312,0.166,0.046,-0.05
bertscore-bart-base_recall,0.178,0.065,-0.222,-0.296
bertscore-bart-base_f1,0.224,0.098,-0.177,-0.263
