,InformativenessRating,RelevanceRating,CoherenceRating,FluencyRating
bertscore-roberta-base_precision,0.503,0.455,0.482,0.436
bertscore-roberta-base_recall,0.642,0.529,0.518,0.449
bertscore-roberta-base_f1,0.598,0.506,0.531,0.466
bertscore-deberta-base_precision,0.531,0.496,0.532,0.487
bertscore-deberta-base_recall,0.635,0.531,0.533,0.48
bertscore-deberta-base_f1,0.621,0.526,0.559,0.49
bertscore-bart-base_precision,0.583,0.556,0.566,0.516
bertscore-bart-base_recall,0.651,0.551,0.523,0.468
bertscore-bart-base_f1,0.668,0.563,0.584,0.526
