,InformativenessRating,RelevanceRating,CoherenceRating,FluencyRating
bertscore-roberta-base_precision,0.597,0.551,0.579,0.531
bertscore-roberta-base_recall,0.739,0.632,0.616,0.54
bertscore-roberta-base_f1,0.692,0.606,0.626,0.556
bertscore-deberta-base_precision,0.628,0.587,0.631,0.586
bertscore-deberta-base_recall,0.736,0.635,0.637,0.575
bertscore-deberta-base_f1,0.72,0.626,0.662,0.588
bertscore-bart-base_precision,0.675,0.65,0.661,0.61
bertscore-bart-base_recall,0.752,0.65,0.621,0.561
bertscore-bart-base_f1,0.765,0.664,0.679,0.617
