,InformativenessRating,RelevanceRating,CoherenceRating,FluencyRating
bertscore-roberta-base_precision,0.664,0.661,0.615,0.554
bertscore-roberta-base_recall,0.805,0.753,0.688,0.63
bertscore-roberta-base_f1,0.75,0.725,0.669,0.606
bertscore-deberta-base_precision,0.711,0.703,0.657,0.586
bertscore-deberta-base_recall,0.809,0.766,0.703,0.641
bertscore-deberta-base_f1,0.786,0.756,0.701,0.631
bertscore-bart-base_precision,0.72,0.72,0.678,0.614
bertscore-bart-base_recall,0.818,0.775,0.699,0.637
bertscore-bart-base_f1,0.815,0.783,0.719,0.651
