,consistency,relevance,coherence,fluency
bertscore-roberta-base_precision,0.251,0.241,0.311,0.195
bertscore-roberta-base_recall,0.145,0.219,0.149,0.087
bertscore-roberta-base_f1,0.226,0.255,0.26,0.162
bertscore-deberta-base_precision,0.229,0.212,0.265,0.177
bertscore-deberta-base_recall,0.166,0.238,0.159,0.106
bertscore-deberta-base_f1,0.214,0.268,0.226,0.153
bertscore-bart-base_precision,0.24,0.246,0.299,0.188
bertscore-bart-base_recall,0.118,0.205,0.138,0.046
bertscore-bart-base_f1,0.178,0.249,0.201,0.102
