,consistency,relevance,coherence,fluency
bertscore-roberta-base_precision,0.336,0.556,0.488,0.212
bertscore-roberta-base_recall,0.164,0.441,0.365,0.292
bertscore-roberta-base_f1,0.255,0.517,0.436,0.282
bertscore-deberta-base_precision,0.384,0.564,0.502,0.174
bertscore-deberta-base_recall,0.186,0.524,0.429,0.324
bertscore-deberta-base_f1,0.304,0.597,0.51,0.291
bertscore-bart-base_precision,0.266,0.539,0.429,0.211
bertscore-bart-base_recall,0.136,0.392,0.277,0.266
bertscore-bart-base_f1,0.194,0.466,0.343,0.284
