P,R,F
9.003514051437377930e-01,4.410434376843499482e-01,5.920614366033020159e-01
9.267430305480957031e-01,5.579747035817215206e-01,6.965622567572660184e-01
8.790865898132325107e-01,5.341413068218213711e-01,6.645162623953421166e-01
9.137301564216614436e-01,5.684564812391093014e-01,7.008777657600198108e-01
7.941226065158843994e-01,5.777262655848807160e-01,6.688571856700186169e-01
9.434599876403808594e-01,6.204849954487549057e-01,7.486232220021252770e-01
7.698287069797515869e-01,7.611505525807539252e-01,7.654650342923313699e-01
9.037261903285980225e-01,6.310463701892229382e-01,7.431630545432529322e-01
7.863434404134750366e-01,7.358947197596231726e-01,7.602831158195251238e-01
9.569379687309265137e-01,6.297007658932771701e-01,7.595737563597851905e-01
8.030954748392105103e-01,7.714077925516499290e-01,7.869327683016411612e-01
8.084761023521424006e-01,7.999538423286542965e-01,8.041923947590282618e-01
8.036149144172668457e-01,7.369527580837408332e-01,7.688415617025052828e-01
8.665011922518411902e-01,7.174931464509831658e-01,7.849884960339389428e-01
9.336431622505187988e-01,6.427280121586388395e-01,7.613417746790478446e-01
7.714236676692962646e-01,7.343217254512839354e-01,7.524155960031049251e-01
7.455227772394815711e-01,7.018353328522708434e-01,7.230197182916279219e-01
7.743551731109619141e-01,7.297320042012466201e-01,7.513816498956451539e-01
8.161169767379761186e-01,8.077140640881326217e-01,8.118937789451228237e-01
9.112014174461364746e-01,3.601257252610391979e-01,5.162275865799851315e-01
7.621859051287174225e-01,4.385370668023824692e-01,5.567425276385009614e-01
7.628828324377536774e-01,4.148834167151815300e-01,5.374707184940420435e-01
7.692922987043857574e-01,4.118252341221603774e-01,5.364647839307530308e-01
9.492068290710449219e-01,4.181711870737166437e-01,5.805723681447502171e-01
8.071647472679615021e-01,4.089965984328753357e-01,5.429010503820694833e-01
7.829470373690128326e-01,4.735499662864539050e-01,5.901558731481688636e-01
8.136888965964317322e-01,4.845634051081206817e-01,6.074071456153135040e-01
7.726813443005084991e-01,4.507359247654676437e-01,5.693482494949687611e-01
9.114431142807006836e-01,4.216364592106805476e-01,5.765562013237988115e-01
6.986845917999744415e-01,3.477740564073125151e-01,4.643936481500281488e-01
8.815571963787078857e-01,4.670215227330724028e-01,6.105779045664401217e-01
7.636987753212451935e-01,4.177593798376619816e-01,5.400823133140485455e-01
8.632103595882654190e-01,5.318222545708218840e-01,6.581559096836557821e-01
8.389182090759277344e-01,3.738644631786479100e-01,5.172265617942928273e-01
6.447221736113230017e-01,3.906712448569359952e-01,4.865289070974070929e-01
7.726716622710227966e-01,4.242938453400576515e-01,5.477849256067097716e-01
7.015732626120249060e-01,4.575851289831378010e-01,5.539009926359815816e-01
9.563310146331787109e-01,4.350182612081645028e-01,5.980115307475165620e-01
7.411935428778330115e-01,3.985489638039359517e-01,5.183660638439426815e-01
8.170644700527192050e-01,5.684574589685157386e-01,6.704569342871904425e-01
7.765373647212983066e-01,5.123717733279422593e-01,6.173838246190764822e-01
7.534275352954864502e-01,5.362704004678461311e-01,6.265666942194080269e-01
8.438308835029602051e-01,3.671623000116260305e-01,5.116839503730494787e-01
6.936504319310188293e-01,4.523543094043378510e-01,5.475994134868175101e-01
9.217229783535003662e-01,4.801311054715404203e-01,6.313750876665695788e-01
7.359018996357917786e-01,4.962417047746755516e-01,5.927640445724090545e-01
7.822496473789215532e-01,5.004101736402070122e-01,6.103655473730460468e-01
9.432731866836547852e-01,4.216715265559939363e-01,5.828096050047105736e-01
7.509830407798290253e-01,5.555410400296734164e-01,6.386440260036858607e-01
7.449555061757564545e-01,6.649173132218090254e-01,7.026645337383431444e-01
7.564851008355617523e-01,6.741744391290487304e-01,7.129619651897227683e-01
9.378803968429565430e-01,5.614191881191413769e-01,7.023867094070351813e-01
7.133255352576572950e-01,5.702716008619924670e-01,6.338270528662246495e-01
7.634173892438411713e-01,6.941271066929386446e-01,7.271252508203206455e-01
8.002464547753334045e-01,6.728724506312766529e-01,7.310527224345721997e-01
7.266386859118938446e-01,5.977565422654151917e-01,6.559265982326959454e-01
9.623571038246154785e-01,5.029465958344198073e-01,6.606333273549886975e-01
7.579964958131313324e-01,6.866138980320070084e-01,7.205415811796355152e-01
7.637232802808284760e-01,6.590385478550353504e-01,7.075296393899281888e-01
6.959595829248428345e-01,5.777447513774432997e-01,6.313662996615598821e-01
7.823171228170395786e-01,6.019579159606874841e-01,6.803878877814862891e-01
9.582924842834472656e-01,5.553473604020772170e-01,7.031860366367784776e-01
7.315152511000633240e-01,5.923527562403464453e-01,6.546197548673781119e-01
7.575525417923927307e-01,5.640431800941089202e-01,6.466309442210079750e-01
8.031542599201202393e-01,5.926642417907714844e-01,6.820382591477895939e-01
9.397934675216674805e-01,5.225231974712900573e-01,6.716245521477628433e-01
7.925560250878334045e-01,5.863691516019202687e-01,6.740473114623586337e-01
7.997157275676727295e-01,6.243984857658008147e-01,7.012657898660039635e-01
8.010581682125726966e-01,5.781246998288609440e-01,6.715737612097977260e-01
7.471767738461494446e-01,5.413451561251202415e-01,6.278209441104757316e-01
9.351681470870971680e-01,5.172821030624814576e-01,6.661099005524487859e-01
7.677977457642555237e-01,5.740731890137130700e-01,6.569515577164778408e-01
9.509706646203994751e-01,6.613378173059171194e-01,7.801396205651841553e-01
7.671167328953742981e-01,5.349878800344897156e-01,6.303612637501433413e-01
7.662067472934723789e-01,5.523673536272736273e-01,6.419473779112168099e-01
9.458841482798258093e-01,6.136996546191370028e-01,7.444149830615449659e-01
8.042236591378847388e-01,7.070987727827655611e-01,7.525403585740205736e-01
8.176401874848774343e-01,6.232848423505258362e-01,7.073549626855748507e-01
8.274166751652956009e-01,6.509069147224197938e-01,7.286242861924863146e-01
8.792610764503479004e-01,6.013607091889410228e-01,7.142311015883274772e-01
8.723923787474632263e-01,7.568188338222617828e-01,8.105063083597304763e-01
7.944726273417472839e-01,7.059641566997516549e-01,7.476079023757661313e-01
8.577974653906291769e-01,6.737938723164405008e-01,7.547426805561151530e-01
8.033340083701269174e-01,6.167915704364548279e-01,6.978110274219733178e-01
9.131519993146259839e-01,6.227859282743432034e-01,7.405223939504416153e-01
8.271804079413414001e-01,6.999021229629744933e-01,7.582371114528843048e-01
8.551708715302602792e-01,6.717756106824932516e-01,7.524598159165559741e-01
8.883843166487557230e-01,6.701387706809415201e-01,7.639806926071980309e-01
8.000960626772470885e-01,6.140700457338801321e-01,6.948476885105482337e-01
9.556385874748229980e-01,5.114317932005586487e-01,6.662856300307816726e-01
7.672869786620140076e-01,4.787966574959713895e-01,5.896465214105054420e-01
8.158888270457584913e-01,6.348280499464479254e-01,7.140595401639298068e-01
7.517980411648750305e-01,4.771188986969405188e-01,5.837612645870691175e-01
9.641817808151245117e-01,5.734778808365608160e-01,7.191928593732358488e-01
8.506053835153579712e-01,6.328619208572239252e-01,7.257534497947031316e-01
8.326775779326756055e-01,6.581264312925010351e-01,7.351833230807230946e-01
