P,R,F
8.312802414099375037e-01,6.392804321489835573e-01,7.227463667709236317e-01
8.312802414099375037e-01,6.392804321489835573e-01,7.227463667709236317e-01
7.652053162455558777e-01,5.889940360262070351e-01,6.656351841375458545e-01
7.631294503808021545e-01,6.415683077073390805e-01,6.970889890346388951e-01
8.015641152858734575e-01,7.112301959667676199e-01,7.537000880478492704e-01
9.766016602516174316e-01,5.478909856375352438e-01,7.019663199469675652e-01
7.657508775591850281e-01,6.303500661879409828e-01,6.914845499027689746e-01
7.683987244963645935e-01,6.251093622894934310e-01,6.893870817239053927e-01
7.654395923018455505e-01,6.651449289954738386e-01,7.117765580327050090e-01
7.660883143544197083e-01,6.136198167079760513e-01,6.814295871030453533e-01
9.097698032855987549e-01,5.921201882538972283e-01,7.173535614775596869e-01
7.638548985123634338e-01,5.727957297622421340e-01,6.546704348474888802e-01
7.634960487484931946e-01,6.834413985043396034e-01,7.212541334111028934e-01
7.634960487484931946e-01,6.834413985043396034e-01,7.212541334111028934e-01
7.862822189927101135e-01,6.616974689066410509e-01,7.186301831465168322e-01
7.857978567481040955e-01,6.627572106818357955e-01,7.190519813956974815e-01
8.448485086361566809e-01,7.526702808837095748e-01,7.961000126833892576e-01
6.004403680562973022e-01,6.241514270504315842e-01,6.120663458280998226e-01
7.913497015833854675e-01,7.100799794826242461e-01,7.485153476717589793e-01
7.913497015833854675e-01,7.100799794826242461e-01,7.485153476717589793e-01
7.851395681500434875e-01,7.644082116583983399e-01,7.746352077843198236e-01
7.790505513548851013e-01,7.054018937879138473e-01,7.403992442875328983e-01
9.670055210590362549e-01,7.062990005231566393e-01,8.163427806656086139e-01
7.875735834240913391e-01,7.290123658047782396e-01,7.571623376693937812e-01
7.746191397309303284e-01,7.571851968765258567e-01,7.658029577334917182e-01
7.746191397309303284e-01,7.571851968765258567e-01,7.658029577334917182e-01
7.954464405775070190e-01,7.294495715492073096e-01,7.610198474588029116e-01
7.954464405775070190e-01,7.294495715492073096e-01,7.610198474588029116e-01
8.312437534332275391e-01,7.794155660031856225e-01,8.044957897061350005e-01
9.651139974594116211e-01,6.427920529212074463e-01,7.716465866685139341e-01
7.870058566331863403e-01,6.797966309662523132e-01,7.294832595566894673e-01
7.944939583539962769e-01,7.295408577754579627e-01,7.606332844114761516e-01
7.944939583539962769e-01,7.295408577754579627e-01,7.606332844114761516e-01
7.945836484432220459e-01,6.640452002656870301e-01,7.234732240835008987e-01
9.638903141021728516e-01,5.826142058739888219e-01,7.262522451714830130e-01
7.945836484432220459e-01,6.640452002656870301e-01,7.234732240835008987e-01
8.240582346916198730e-01,7.117868490602777820e-01,7.638189821598904139e-01
8.240582346916198730e-01,7.117868490602777820e-01,7.638189821598904139e-01
7.853008694946765900e-01,5.506825592262404312e-01,6.473905039225724689e-01
7.890408225357532501e-01,5.337027044381413843e-01,6.367269426187682768e-01
8.244209200143814975e-01,5.508533669369560792e-01,6.604283143690508062e-01
9.539710481961567456e-01,5.397854154876300381e-01,6.894559737587049320e-01
7.897205241024494171e-01,5.336086226786885822e-01,6.368811299780048341e-01
7.853008694946765900e-01,5.506825592262404312e-01,6.473905039225724689e-01
7.941205091774463654e-01,5.351967843515532675e-01,6.394421331435355960e-01
7.897917516529560089e-01,5.155033774035318039e-01,6.238287516124345622e-01
7.941205091774463654e-01,5.351967843515532675e-01,6.394421331435355960e-01
7.853008694946765900e-01,5.506825592262404312e-01,6.473905039225724689e-01
8.311480407913525159e-01,5.367195818253925887e-01,6.522464915649477391e-01
8.311480407913525159e-01,5.367195818253925887e-01,6.522464915649477391e-01
8.189539432525635432e-01,6.799850551837898216e-01,7.430274919479615825e-01
7.922274768352508545e-01,6.191046491085765435e-01,6.950478984275345606e-01
8.303764581680298518e-01,6.800224461469306370e-01,7.477158897468288989e-01
9.666130244731903076e-01,5.939759461276502561e-01,7.358053870260556906e-01
7.882553339004516602e-01,6.186231010290513810e-01,6.932126429027571923e-01
8.444445331891377027e-01,6.277366065117250260e-01,7.201406557337604042e-01
7.961613535881042480e-01,6.414987258164279726e-01,7.105107823298461023e-01
7.882553339004516602e-01,6.186231010290513810e-01,6.932126429027571923e-01
9.757330417633056641e-01,5.818901394146034356e-01,7.290202695541873057e-01
7.482263296842575073e-01,5.774502025311252229e-01,6.518384162586919883e-01
7.796116918325424194e-01,6.192320552935083322e-01,6.902279847283223635e-01
7.796116918325424194e-01,6.192320552935083322e-01,6.902279847283223635e-01
8.059179604053497981e-01,6.050699381687777434e-01,6.911990258234720352e-01
8.484747350215912087e-01,6.249751365645145329e-01,7.197742164391928155e-01
8.407288253307343417e-01,6.432747260584095184e-01,7.288656476566878206e-01
7.481153706709543494e-01,5.393152415631263796e-01,6.267833279967628402e-01
8.426608383655548318e-01,6.158480412228320988e-01,7.116186044325931714e-01
7.688359096646308899e-01,5.284927687872716939e-01,6.264013513161624802e-01
8.062305226922035217e-01,6.234383745103833085e-01,7.031488864748796086e-01
8.426608383655548318e-01,6.158480412228320988e-01,7.116186044325931714e-01
9.494757850964863355e-01,6.097517967890433432e-01,7.426043160039137447e-01
8.427545964717865212e-01,6.447674894962853731e-01,7.305851396148371757e-01
8.032237514853477478e-01,5.954315572431901904e-01,6.838922587673288422e-01
8.032237514853477478e-01,5.954315572431901904e-01,6.838922587673288422e-01
8.085760399699211121e-01,6.544510604337204773e-01,7.233952763467156322e-01
7.512761255105335767e-01,6.009061476865480422e-01,6.677301594289006825e-01
8.282554924488068071e-01,6.726937257619791666e-01,7.424132226970060477e-01
7.416577637195587158e-01,5.797646014496337097e-01,6.507940672547067873e-01
7.987465783953666687e-01,6.448378074307774543e-01,7.135876466418562547e-01
7.508313730359077454e-01,5.806804786241331895e-01,6.548843264398114261e-01
7.489497363567352295e-01,6.229956009706785203e-01,6.801909353142742143e-01
8.085471317172050476e-01,6.534216941096061548e-01,7.227544489881011502e-01
8.077609613537788391e-01,6.531442251316336156e-01,7.222705649560173802e-01
7.987465783953666687e-01,6.448378074307774543e-01,7.135876466418562547e-01
9.843839406967163086e-01,5.728755231166994255e-01,7.242588381429506672e-01
9.843839406967163086e-01,5.728755231166994255e-01,7.242588381429506672e-01
7.787595577538013458e-01,7.578791880676912784e-01,7.681775081297709251e-01
7.716804929077625275e-01,7.191303521394729614e-01,7.444792428865626421e-01
8.218103438615799172e-01,7.739975669009740988e-01,7.971876844487709723e-01
9.585757851600646973e-01,6.401232869126075586e-01,7.676324995372255655e-01
7.716804929077625275e-01,7.191303521394729614e-01,7.444792428865626421e-01
7.716804929077625275e-01,7.191303521394729614e-01,7.444792428865626421e-01
7.808684743940830231e-01,7.575221118885416827e-01,7.690181428626053917e-01
7.787595577538013458e-01,7.578791880676912784e-01,7.681775081297709251e-01
7.808684743940830231e-01,7.575221118885416827e-01,7.690181428626053917e-01
7.743569202721118927e-01,7.292385447856991609e-01,7.511207991868463774e-01
7.779309637844562531e-01,7.358146781145139537e-01,7.562869294134385578e-01
7.779309637844562531e-01,7.358146781145139537e-01,7.562869294134385578e-01
7.596656940877437592e-01,6.263641037791967126e-01,6.866047503182910461e-01
7.416025064885616302e-01,5.742346326261759115e-01,6.472743931739367573e-01
7.935191959142685603e-01,6.749232293665409221e-01,7.294321235214696886e-01
9.547863801320393140e-01,5.728151118755340221e-01,7.160454739197895657e-01
8.103698700666428500e-01,6.581634845584630744e-01,7.263789491528548359e-01
7.456882111728191376e-01,5.761084378510713533e-01,6.500202141985729209e-01
7.624691687524318695e-01,6.280173829197883695e-01,6.887429315171208488e-01
8.129941433668137485e-01,6.614748631417751712e-01,7.294492964515160160e-01
9.773618578910827637e-01,5.327066301926970393e-01,6.895675870393321860e-01
7.431456856429576874e-01,6.046669711172580897e-01,6.667924486133214312e-01
7.676547132432460785e-01,6.276580859720707339e-01,6.906332232781908775e-01
7.676547132432460785e-01,6.276580859720707339e-01,6.906332232781908775e-01
7.698355279862880707e-01,5.025713886546937514e-01,6.081345602193921618e-01
7.712506167590618134e-01,4.999666564119390477e-01,6.066619770746366491e-01
8.022597044706345493e-01,4.011719013222410646e-01,5.348771786405894790e-01
9.560387134552001953e-01,4.511469270373824059e-01,6.130163857458146293e-01
7.727844677865505219e-01,5.032606032453005307e-01,6.095583710415044543e-01
7.712506167590618134e-01,4.999666564119390477e-01,6.066619770746366491e-01
7.712506167590618134e-01,4.999666564119390477e-01,6.066619770746366491e-01
7.195926420390605927e-01,4.965223089049133898e-01,5.875987295754933060e-01
9.758120775222778320e-01,4.701847585678524677e-01,6.345960857258868826e-01
7.195926420390605927e-01,4.965223089049133898e-01,5.875987295754933060e-01
8.424105197191238403e-01,5.481619582617585085e-01,6.641543788066963661e-01
8.424105197191238403e-01,5.481619582617585085e-01,6.641543788066963661e-01
7.994347572326661044e-01,6.868079693239425021e-01,7.388539602734044420e-01
8.101857304573059082e-01,6.967885489009807420e-01,7.492206697861090170e-01
8.172520339488983376e-01,7.276301524627988293e-01,7.698415158038447448e-01
9.726062814394632605e-01,6.500584239436086875e-01,7.792748610760376060e-01
8.076518535614014560e-01,6.971537958238726018e-01,7.483458819343631330e-01
7.706354707479476929e-01,6.735730342845492880e-01,7.188425640068046851e-01
8.224938988685608354e-01,7.386955616073073161e-01,7.783457522933830974e-01
8.083725333213807041e-01,6.736398712496890484e-01,7.348817966554151981e-01
7.706354707479476929e-01,6.735730342845492880e-01,7.188425640068046851e-01
