P,R,F
9.276459813117980957e-01,3.375520797876211399e-01,4.949878440792529477e-01
7.663717865943908691e-01,2.548551009251521227e-01,3.825080624210747682e-01
9.278067946434020996e-01,2.155935149966624609e-01,3.498846841451802581e-01
6.523124724626541138e-01,2.393580437229390623e-01,3.502106091219822082e-01
1.000000000000000000e+00,3.478276425024919294e-01,5.161307448134621056e-01
2.602643966674804688e-01,1.044035333600875498e-01,1.490261159946923708e-01
8.839603662490844727e-01,4.167476917960141747e-01,5.664429308251311967e-01
8.220593333244323730e-01,2.777210747120542056e-01,4.151796119655223327e-01
8.810371359189350660e-01,3.700425568968057632e-01,5.211838004703315264e-01
7.860857148965199048e-01,3.450404938172411118e-01,4.795776124027749665e-01
5.656961798667907715e-01,2.445014599986650161e-01,3.414316089986798031e-01
9.907157719135284424e-01,4.303055433211502856e-01,6.000057619680101428e-01
2.276008799672126770e-01,1.199743897973180318e-01,1.571243932855059255e-01
8.807682565280369191e-01,4.599490872135868491e-01,6.043161260317720940e-01
9.229104220867156982e-01,3.950420716018588352e-01,5.532649269074982890e-01
9.669796109199524370e-01,3.591178768762835483e-01,5.237317287031719726e-01
9.874768058458963660e-01,8.480886444449424744e-01,9.124903343086722129e-01
1.815948560833930969e-01,4.036047562424625174e-02,6.604261052035842461e-02
6.549097895622253418e-01,4.431978373655250936e-01,5.286450895811629636e-01
9.478607177734375000e-01,4.469851968543869791e-01,6.074932077892597482e-01
9.340609312057495117e-01,4.444437532552650838e-01,6.023012481767621162e-01
9.924090057611465454e-01,4.130200584019932952e-01,5.832878171794433353e-01
4.520130604505538940e-01,2.783623210021427541e-01,3.445444844541137863e-01
5.360195040702819824e-01,3.810527548193931580e-01,4.454429990286677965e-01
1.000000000000000000e+00,5.417874306440353394e-01,7.028043164390306297e-01
5.542582273483276367e-02,2.078896434977650642e-02,3.023679516711931178e-02
7.934388816356658936e-01,6.362932175397872925e-01,7.062299002845191520e-01
9.810690283775329590e-01,2.957804511700357630e-01,4.545266211727264083e-01
2.930856049060821533e-01,9.380207956945967041e-02,1.421189680376167275e-01
9.201254844665527344e-01,5.238323062658309937e-01,6.675977063534669353e-01
7.698144316673278809e-01,5.225669890642166138e-01,6.225400694275978752e-01
8.058222383260726929e-01,4.544743107897894485e-01,5.811735446538295324e-01
7.070756554603576660e-01,2.378258801819312929e-01,3.559331502213500253e-01
7.114978432655334473e-01,2.763677022109428671e-01,3.981007840019245569e-01
9.744548797607421875e-01,5.423790554205576431e-01,6.968777596229247528e-01
1.000000059604644775e+00,4.139370203523312641e-01,5.855098517361123633e-01
9.052294492721557617e-01,2.607424689172688215e-01,4.048669746804237635e-01
5.087329745292663574e-01,2.156991615891456493e-01,3.029497743340819893e-01
9.759209156036376953e-01,2.813732045331685527e-01,4.368078892542032743e-01
7.869394123554229736e-01,3.302627583344777129e-01,4.652636519782665792e-01
3.476779311895370483e-01,6.704591340937857136e-02,1.124140064404993700e-01
8.241836362414889372e-01,4.592253479917170478e-01,5.898135696598839628e-01
1.849847286939620972e-01,3.165729554990927286e-02,5.406260626416949794e-02
8.503881841897964478e-01,3.625908523040302645e-01,5.084061096157687087e-01
6.938721984624862671e-01,4.114087621370951520e-01,5.165475791710736342e-01
7.885055243968963623e-01,2.932315000916941861e-01,4.274877396542851593e-01
9.942789475123087195e-01,5.422515015710483999e-01,7.017749014875291902e-01
9.682636260986328125e-01,2.884336135660608424e-01,4.444662847110606441e-01
9.299287199974060059e-01,2.154508785364062928e-01,3.498472645333438602e-01
9.374052882194519043e-01,3.953586290280023952e-01,5.561544168444507719e-01
9.779826998710632324e-01,3.525386871487805607e-01,5.182580910465627300e-01
9.681754310925800855e-01,4.943643529948434923e-01,6.545208900094806603e-01
3.196139633655548096e-01,7.586126562841166709e-02,1.226186521724914463e-01
8.072611093521118164e-01,4.160724143056492852e-01,5.491210242304374045e-01
9.145200401544570923e-01,5.484387104709943506e-01,6.856764639573927900e-01
9.939607977867126465e-01,3.144932846097569512e-01,4.778065967691478844e-01
9.605302015940347937e-01,4.764356958595189484e-01,6.369404810531764660e-01
2.925293743610382080e-01,5.567681852813907706e-02,9.354862275889068435e-02
8.159271081288654859e-01,4.914426081108324573e-01,6.134169104061784061e-01
8.954907357692718506e-01,4.627433344721794128e-01,6.101781395973288058e-01
9.871943990389505652e-01,3.461672873546679519e-01,5.125907106740617003e-01
9.903416633605957031e-01,3.289872284880593911e-01,4.939022575769256296e-01
9.178946273667470956e-01,4.698626299699147357e-01,6.215559405216175559e-01
7.993941903114318848e-01,4.623981024089612313e-01,5.858941424976101819e-01
9.866821467876434326e-01,3.819692598034938325e-01,5.507351944473410921e-01
9.980994860331217078e-01,4.350949265062808990e-01,6.060141160501469892e-01
2.182355821132659912e-01,1.334953478847940855e-01,1.656575095924129881e-01
3.673725724220275879e-01,1.998256896622478962e-01,2.588529710139284568e-01
9.418900012969970703e-01,3.820418190831939009e-01,5.435950158950658695e-01
8.534164230028787879e-01,3.774993779758612500e-01,5.234544370651644796e-01
1.737717762589454651e-01,9.943248319905251265e-02,1.264882125748371666e-01
5.979709625244140625e-01,2.831744213278095113e-01,3.843408463275396203e-01
6.996476054191589355e-01,3.297903342172503471e-01,4.482776644252651210e-01
6.799070537090301514e-01,3.107016744712988721e-01,4.265019155651688654e-01
7.726679444313049316e-01,3.755500478049119129e-01,5.054362245332301162e-01
9.909338752428690222e-01,3.871035504959184914e-01,5.567251139170524832e-01
9.770902991294860840e-01,3.295842195882208170e-01,4.929055232849226531e-01
8.436350822448730469e-01,3.848262550309300423e-01,5.285521317796540997e-01
9.961588680744171143e-01,3.718045655510980874e-01,5.415004612845143450e-01
9.954429765542347486e-01,4.796033352613449097e-01,6.473258063745211954e-01
2.776845693588256836e-01,7.760349087017986980e-02,1.213060294181435711e-01
9.851516485214233398e-01,4.381913693887846684e-01,6.065789405494581565e-01
2.340329140424728394e-01,1.233485294505953789e-01,1.615507257904762184e-01
7.945912182331085205e-01,4.526848640631545573e-01,5.767759403345833480e-01
9.869797229766845703e-01,3.319236901165409370e-01,4.967792917485856496e-01
9.682493209838867188e-01,3.315214166756380587e-01,4.939261629567284206e-01
1.586225926876068115e-01,6.607077153665678881e-02,9.328550594449031008e-02
9.506438970565795898e-01,3.621776306658590627e-01,5.245221029247234545e-01
8.485269645849863318e-01,4.547062520469937752e-01,5.921127713800530268e-01
8.557080030441284180e-01,2.617484880856384977e-01,4.008751621517430697e-01
9.851836562156677246e-01,3.913466717515672877e-01,5.601741379623550454e-01
9.944838881492614746e-01,3.336700404945172616e-01,4.996852730296871270e-01
7.441820502281188965e-01,3.233299843966960796e-01,4.507984226578304887e-01
9.915183410048484802e-01,4.846158249510659211e-01,6.510322569073677679e-01
4.066116809844970703e-01,1.297536648956960637e-01,1.967291742555003220e-01
6.187463998794555664e-01,2.978281076169676522e-01,4.021060325455951268e-01
